Datum;Beschreibung;Ausprägung;Total;Kanton_Zürich_Ja;Kanton_Zürich_Nein;Alter_15-29;Alter_30-64;Alter_65-79;Männlich;Weiblich;Städtisch;Ländlich;Erwerbstätig;In_Ausbildung;Nicht_Erwerbstätig
18.02.2020;Distanz;weniger als 2 Km;10.26687046;8.723872015;10.65091839;7.950264593;8.778462108;20.42078338;8.608139883;11.92659648;10.28795271;10.23679705;8.343285546;9.303509296;20.16727748
18.02.2020;Distanz;2 - 10 Kilometer;17.83406155;17.06144882;18.02636265;17.08433985;17.36848316;21.0486994;16.24369095;19.42538656;21.42163673;12.7164557;16.5787814;18.61406161;23.11300463
18.02.2020;Distanz;10 - 20 Kilometer;17.02079753;18.43245554;16.66943987;16.33018423;15.93754387;22.88416537;15.5170531;18.52544439;20.05472285;12.69296239;16.32295658;17.74799824;19.70919267
18.02.2020;Distanz;20 - 50 Kilometer;27.38496779;31.18836762;26.4383124;28.87872267;28.91473063;18.30960681;28.61029789;26.15890235;24.60181448;31.35508157;29.68623282;24.46250123;18.95939691
18.02.2020;Distanz;50 - 100 Kilometer;16.45687147;15.65598286;16.65621037;19.068925;16.68087738;11.45745471;17.78771969;15.12522459;13.36911587;20.86149447;16.98302362;18.50092895;12.25505037
18.02.2020;Distanz;100++ Kilometer;11.03643119;8.937873136;11.55875632;10.68756365;12.31990285;5.879290324;13.23309848;8.838445631;10.26475737;12.13720881;12.08572004;11.37100068;5.796077937
18.02.2020;Radius;weniger als 500 Meter;9.637208365;8.260605268;9.979840957;7.534572255;8.327075979;18.67231696;8.439827583;10.83530772;9.357898894;10.03563786;7.951093508;8.776406101;18.32912552
18.02.2020;Radius;500 Meter - 2 Kilometer;12.86645925;11.57539841;13.18780062;12.71920945;11.47655387;19.25649835;11.36612595;14.36769294;15.47160794;9.15026558;11.106067;13.38866406;20.74918947
18.02.2020;Radius;2 - 10 Kilometer;35.87402341;36.72747594;35.6616015;34.50636519;35.80417218;38.28131007;34.62153321;37.12726526;39.24577616;31.06428404;35.90303254;34.64444456;36.76846101
18.02.2020;Radius;10 - 20 Kilometer;17.3196004;21.71404267;16.22583622;18.74735386;18.74659625;8.801232045;18.14265946;16.4960474;13.98300951;22.07918205;19.25301788;14.95798874;10.16220288
18.02.2020;Radius;20 - 50 Kilometer;17.21456101;14.78380448;17.8195694;18.98171043;18.34875568;9.474250014;19.18717355;15.24076467;14.17202181;21.5546837;18.37749964;20.12443901;9.276465801
18.02.2020;Radius;50 - 100 Kilometer;5.817186831;5.131086653;5.987955213;6.083519406;6.276216016;3.372940205;6.656809688;4.9770601;6.186153141;5.290863605;6.102649214;7.054285891;3.430029873
18.02.2020;Radius;100++ Kilometer;1.27096073;1.807586565;1.137396087;1.427269413;1.02063003;2.141452349;1.585870564;0.955861912;1.583532535;0.825083161;1.306640223;1.053771636;1.284525445
19.02.2020;Distanz;weniger als 2 Km;11.32770308;10.36171969;11.56884749;7.600691461;11.08513642;18.22675091;10.72732836;11.92843809;11.68669555;10.81796516;9.89952873;8.025551575;21.02382724
19.02.2020;Distanz;2 - 10 Kilometer;19.01609293;16.66929529;19.60193854;16.74993371;17.99939478;27.13800224;16.69912776;21.33444855;23.53250572;12.6031818;17.6638535;17.8658912;26.5022642
19.02.2020;Distanz;10 - 20 Kilometer;16.4018923;17.60679001;16.10110623;16.67484459;16.08652352;17.40171017;16.12961032;16.67433768;18.70406871;13.13300316;15.60472354;19.92077242;17.21693317
19.02.2020;Distanz;20 - 50 Kilometer;24.71487934;28.46471582;23.77878447;26.91607631;24.79573572;20.92219991;23.72957565;25.70077434;23.45539946;26.50323062;26.19336823;22.04004441;19.90117959
19.02.2020;Distanz;50 - 100 Kilometer;17.83850904;18.53170406;17.66546247;20.35416132;18.63064316;10.34269402;19.32538455;16.35074122;13.18023704;24.45284782;19.26537575;19.82136843;9.279746055
19.02.2020;Distanz;100++ Kilometer;10.70092331;8.365775117;11.2838608;11.7042926;11.4025664;5.968642753;13.38897335;8.011260123;9.441093509;12.48977144;11.37315024;12.32637196;6.076049743
19.02.2020;Radius;weniger als 500 Meter;10.66180657;8.901487211;11.10124599;6.479058429;10.14436839;19.51231327;9.638979214;11.68524775;10.36549902;11.08253738;9.143275118;6.974337897;21.12261315
19.02.2020;Radius;500 Meter - 2 Kilometer;12.35553956;9.894128938;12.96999672;10.61944957;11.78801921;17.62274429;11.52590763;13.18566936;15.18877451;8.332593747;11.39352837;10.9403414;18.19311835
19.02.2020;Radius;2 - 10 Kilometer;34.54298921;36.5643193;34.03839208;36.21769199;33.93514506;34.68159802;33.17894689;35.90785013;39.00823977;28.202724;33.69245892;39.74338798;34.17290789
19.02.2020;Radius;10 - 20 Kilometer;16.9823686;20.7867304;16.03266223;17.92860122;17.45977278;13.35215144;17.02182956;16.94288396;14.16943576;20.97648719;18.54100994;14.21020754;11.86682615
19.02.2020;Radius;20 - 50 Kilometer;17.91919216;16.70145671;18.223183;20.70658501;19.07193884;8.371036162;19.34492388;16.49260484;13.79662149;23.77288192;19.31403833;19.59086847;9.781136574
19.02.2020;Radius;50 - 100 Kilometer;5.975425289;4.173800532;6.425176023;5.971299219;6.190469823;5.010290704;7.154406543;4.795736505;5.635701391;6.457803509;6.37649318;6.38920502;3.692789116
19.02.2020;Radius;100++ Kilometer;1.562678603;2.978076909;1.209343967;2.077314551;1.410285892;1.449866118;2.135006285;0.990007455;1.835728059;1.174972257;1.539196149;2.151651696;1.170608767
20.02.2020;Distanz;weniger als 2 Km;8.833525085;10.39719421;8.440609272;6.898641054;8.243892566;14.34155543;8.776439432;8.890644996;8.145571484;9.793256333;7.677152919;7.665014723;15.39813023
20.02.2020;Distanz;2 - 10 Kilometer;18.26188911;18.12861946;18.29537685;16.4813087;17.418856;24.6433521;15.26534534;21.26023116;23.06247444;11.56482153;17.45211171;16.82063721;23.40448712
20.02.2020;Distanz;10 - 20 Kilometer;16.12419965;14.89423771;16.43326216;16.69535578;15.62002381;17.46179147;16.26289364;15.98542244;18.96951826;12.15483141;15.79543817;18.96761988;15.20945546
20.02.2020;Distanz;20 - 50 Kilometer;26.59858682;29.09399731;25.9715448;26.53542614;28.00959944;20.52890657;25.88481361;27.31278838;23.42979624;31.01921538;27.44621731;26.50438873;22.61928314
20.02.2020;Distanz;50 - 100 Kilometer;18.77085256;18.11193633;18.93642378;21.88747615;18.76834321;14.05965076;20.33010986;17.21065951;15.70173779;23.05242814;19.87344365;18.47918553;13.74272694
20.02.2020;Distanz;100++ Kilometer;11.41094678;9.374014975;11.92278314;11.50179216;11.93928497;8.964743674;13.48039812;9.340253513;10.69090178;12.41544721;11.75563624;11.56315393;9.62591711
20.02.2020;Radius;weniger als 500 Meter;8.23502275;8.26002401;8.228740481;6.399454177;7.525736972;14.11539625;7.871064407;8.599199512;6.989198227;9.973013108;7.145346144;6.779129452;14.73170467
20.02.2020;Radius;500 Meter - 2 Kilometer;12.58784286;12.02562406;12.72911614;11.58167495;11.72723947;17.87272411;11.25344957;13.92303695;15.97085599;7.868362638;11.86702968;10.0683431;18.24841462
20.02.2020;Radius;2 - 10 Kilometer;35.39275586;35.57134828;35.3478795;35.07115223;35.99745086;33.23783793;33.90407984;36.88232527;38.73557078;30.72935424;35.37417768;39.49201502;31.89181806
20.02.2020;Radius;10 - 20 Kilometer;17.69084043;21.53249744;16.72551614;18.90573033;17.61395156;16.18605816;18.07683598;17.30461324;14.35439754;22.34535273;18.29987235;16.56259162;15.76046721
20.02.2020;Radius;20 - 50 Kilometer;18.18754859;15.39790736;18.88852435;20.22621687;19.29904925;10.24198149;19.96366711;16.41036419;15.58244518;21.82180409;19.3020046;18.38929658;12.67045429
20.02.2020;Radius;50 - 100 Kilometer;6.218003795;5.57725623;6.379009628;6.249384044;6.059425876;6.863359453;6.54772321;5.888086509;6.782769551;5.430126032;6.251203308;7.017523176;5.358727205
20.02.2020;Radius;100++ Kilometer;1.687985709;1.63534263;1.701213761;1.566387408;1.777146007;1.482642601;2.383179886;0.992374331;1.584762731;1.83198716;1.760366232;1.691101047;1.338413948
21.02.2020;Distanz;weniger als 2 Km;9.672387386;9.518339717;9.710500239;6.444323006;10.11204672;12.73629801;7.987771497;11.35535896;9.608683178;9.762130478;9.122936548;7.103971914;14.54284336
21.02.2020;Distanz;2 - 10 Kilometer;18.23608811;17.01680771;18.53774964;12.33882561;17.62144494;30.21693176;15.70718947;20.76251836;22.43145754;12.32587526;16.37732901;12.27994117;32.34511359
21.02.2020;Distanz;10 - 20 Kilometer;14.65652763;13.70913701;14.89092105;12.84088114;14.92264205;16.29508988;13.53863076;15.77333336;16.0347736;12.71492817;14.43581908;14.22912709;16.08939772
21.02.2020;Distanz;20 - 50 Kilometer;25.59162261;27.70918163;25.06771844;26.27623257;26.04147941;22.49666303;26.6256564;24.55859812;23.88250509;27.99933629;26.78159497;24.57118894;20.74661101
21.02.2020;Distanz;50 - 100 Kilometer;18.50661913;19.41958882;18.28074178;21.16652139;18.88788659;12.63437085;20.08000101;16.93477299;15.93045379;22.13578356;19.80091821;19.00453901;11.84390347
21.02.2020;Distanz;100++ Kilometer;13.33675512;12.62694511;13.51236885;20.93321629;12.41450029;5.620646468;16.06075087;10.61541821;12.1121268;15.06194624;13.48140218;22.81123188;4.432130853
21.02.2020;Radius;weniger als 500 Meter;9.917601496;8.999880661;10.14465433;7.721962331;9.863079361;13.59342534;8.385465742;11.44824177;9.953595187;9.866895502;8.962209756;8.150077962;16.04858684
21.02.2020;Radius;500 Meter - 2 Kilometer;11.61511574;9.261864167;12.19733249;6.542500931;11.63925606;19.43161996;9.231526492;13.99637843;14.45853388;7.609459826;10.82665713;6.308884689;20.00817424
21.02.2020;Radius;2 - 10 Kilometer;34.24668671;36.86336506;33.5992957;30.7321924;34.59027666;38.19062748;33.32707039;35.16540542;35.94672909;31.85175762;34.05559089;31.45453256;37.58569569
21.02.2020;Radius;10 - 20 Kilometer;16.4343888;19.62854671;15.64412387;18.02526905;16.65238211;12.96742335;17.78175823;15.08833452;13.93813892;19.9509726;17.69317984;14.10258303;12.39416223
21.02.2020;Radius;20 - 50 Kilometer;17.6125228;14.32715589;18.4253537;20.84082209;18.04643665;10.61521412;20.16716051;15.06037861;15.29232494;20.88109387;18.44107114;21.07807626;10.6211281
21.02.2020;Radius;50 - 100 Kilometer;7.194055576;5.507662781;7.611285134;9.900960483;7.088064537;3.442124612;7.341037931;7.047216687;7.417839562;6.878800623;7.58097278;11.01226234;2.023351481
21.02.2020;Radius;100++ Kilometer;2.979628869;5.411524729;2.377954786;6.236292711;2.120504622;1.759565146;3.765980714;2.194044563;2.992838422;2.961019954;2.440318464;7.893583157;1.31890141
22.02.2020;Distanz;weniger als 2 Km;14.16620474;15.13495975;13.92047305;10.10530318;14.08473321;20.81008673;13.23194338;15.1027935;14.23738649;14.06858024;12.71267092;11.21084776;23.69669884
22.02.2020;Distanz;2 - 10 Kilometer;19.70672431;18.46352466;20.02207085;14.94512295;19.86335303;26.37297982;20.21577524;19.19640525;22.4276262;15.97505623;19.02513944;16.23909773;25.93810155
22.02.2020;Distanz;10 - 20 Kilometer;15.1197168;15.06318436;15.13405666;10.81609513;16.09125156;17.44513933;14.19095084;16.05079647;16.47583078;13.25983085;15.69935763;13.23232903;13.91463127
22.02.2020;Distanz;20 - 50 Kilometer;21.5274529;21.82652228;21.45159179;26.68977834;21.01063422;15.847;21.37927032;21.67600462;19.19234159;24.73001611;22.10054566;24.61604263;16.14156989
22.02.2020;Distanz;50 - 100 Kilometer;15.51842273;16.81814367;15.18873915;18.58577895;15.77429834;9.633768905;15.19381486;15.84383924;14.08279928;17.4873545;16.20414686;17.57670208;10.46012614
22.02.2020;Distanz;100++ Kilometer;13.96147853;12.69366528;14.28306849;18.85792144;13.17572964;9.891025211;15.78824537;12.13016092;13.58401566;14.47916207;14.25813949;17.12498077;9.848872311
22.02.2020;Radius;weniger als 500 Meter;12.9879128;14.8434094;12.51725273;9.499986109;13.17030337;17.56942814;13.0620333;12.91360765;12.88015479;13.13570098;11.80722546;11.25719681;20.16231772
22.02.2020;Radius;500 Meter - 2 Kilometer;14.12112482;13.41017997;14.30146111;10.69551879;13.26368309;23.24138696;14.55978497;13.6813719;16.35351669;11.05943948;12.69497847;11.42176054;23.30247292
22.02.2020;Radius;2 - 10 Kilometer;33.22873428;33.40537587;33.18392787;28.26802617;35.04092419;32.82314099;30.95234916;35.51079025;35.50079087;30.11264948;34.48701899;30.19348427;29.71377846
22.02.2020;Radius;10 - 20 Kilometer;13.95710915;14.40852066;13.84260537;18.3366717;13.62387113;8.668976428;15.18442185;12.72673901;10.75465636;18.34921562;14.51508548;17.75476389;8.044056396
22.02.2020;Radius;20 - 50 Kilometer;14.39152639;12.37282562;14.90358438;18.69800083;14.63167818;6.66050409;14.12266835;14.6610542;12.80062303;16.57342177;14.8551739;17.37920653;9.620295311
22.02.2020;Radius;50 - 100 Kilometer;7.599493777;8.075685768;7.478704248;9.343540555;6.997851426;7.583964795;8.363074434;6.834010918;7.541401555;7.679166215;8.089995571;7.167154562;5.593657719
